sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.2,0.8,0.04210526315789474,0.84,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.88,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.88,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.88,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.88,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.88,0.46,1.0,0.35,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.03,1.0,0.66,0.89,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.03,1.0,0.66,0.89,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.88,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.88,0.15,1.0,0.95,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.14,1.0,0.95,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.14,1.0,0.95,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.14,1.0,0.95,0.86,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.14,1.0,0.95,0.86,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.05,1.0,0.56,0.87,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.05,1.0,0.56,0.87,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.48,0.52,0.027368421052631584,0.88,0.51,1.0,0.81,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.84,0.65,1.0,0.29,0.87,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.84,0.94,1.0,0.77,0.87,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.48,0.52,0.027368421052631584,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.52,0.48,0.02526315789473684,0.88,0.53,1.0,0.65,0.89,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.8,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.8,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.84,0.4,1.0,0.4,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.24,1.0,0.56,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.12,1.0,0.74,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.12,1.0,0.74,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.12,1.0,0.74,0.86,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.12,1.0,0.74,0.86,No counterfactual,2,38
0.0,0.92,0.048421052631578955,0.88,0.09,1.0,0.35,0.89,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.09,1.0,0.35,0.89,No counterfactual,2,38
0.04,0.92,0.048421052631578955,0.88,0.09,1.0,0.35,0.89,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.09,1.0,0.35,0.89,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.09,1.0,0.35,0.89,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.2,1.0,0.19,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.2,1.0,0.19,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.2,1.0,0.19,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.2,1.0,0.19,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.2,1.0,0.19,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.2,1.0,0.19,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.04,1.0,0.38,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.04,1.0,0.38,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.48,0.52,0.027368421052631584,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.52,0.48,0.02526315789473684,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.56,0.44,0.023157894736842106,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.6,0.4,0.02105263157894737,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.64,0.36,0.018947368421052633,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.68,0.32,0.016842105263157898,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.72,0.28,0.014736842105263161,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.76,0.24,0.01263157894736842,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.8,0.2,0.010526315789473686,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.84,0.16,0.008421052631578949,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.88,0.12,0.00631578947368421,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.92,0.08,0.0042105263157894745,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.96,0.04,0.0021052631578947372,0.88,0.96,1.0,0.38,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.84,0.98,1.0,0.66,0.87,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.8,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.8,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.48,0.52,0.027368421052631584,0.84,0.49,1.0,0.43,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.09,1.0,0.37,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.09,1.0,0.37,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.09,1.0,0.37,0.86,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.88,0.41,1.0,0.55,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.25,1.0,0.37,0.86,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.8,0.08,1.0,0.33,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.08,1.0,0.33,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.8,0.08,1.0,0.33,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.08,1.0,0.33,0.85,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.08,1.0,0.33,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.8,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.8,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.39,1.0,0.67,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.8,0.13,1.0,0.35,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.13,1.0,0.35,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.8,0.13,1.0,0.35,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.13,1.0,0.35,0.85,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.13,1.0,0.35,0.85,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.13,1.0,0.35,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.48,0.52,0.027368421052631584,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.52,0.48,0.02526315789473684,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.56,0.44,0.023157894736842106,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.6,0.4,0.02105263157894737,0.84,0.65,1.0,0.81,0.86,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.88,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.88,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.88,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.88,0.12,1.0,0.95,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.2,1.0,0.65,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.2,1.0,0.65,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.2,1.0,0.65,0.86,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.2,1.0,0.65,0.86,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.2,1.0,0.65,0.86,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.2,1.0,0.65,0.86,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.8,0.11,1.0,0.76,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.11,1.0,0.76,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.8,0.11,1.0,0.76,0.85,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.11,1.0,0.76,0.85,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.11,1.0,0.76,0.85,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.2,0.8,0.04210526315789474,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.84,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.24,0.76,0.04,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.28,0.72,0.037894736842105266,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.32,0.68,0.03578947368421053,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.36,0.64,0.033684210526315796,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.4,0.6,0.031578947368421054,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.44,0.56,0.029473684210526322,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.48,0.52,0.027368421052631584,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.52,0.48,0.02526315789473684,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.56,0.44,0.023157894736842106,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.6,0.4,0.02105263157894737,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.64,0.36,0.018947368421052633,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.68,0.32,0.016842105263157898,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.72,0.28,0.014736842105263161,0.88,0.72,1.0,0.36,0.88,No counterfactual,2,38
0.0,1.0,0.052631578947368425,0.84,0.31,1.0,0.6,0.86,No counterfactual,2,38
0.04,0.96,0.05052631578947368,0.84,0.31,1.0,0.6,0.86,No counterfactual,2,38
0.08,0.92,0.048421052631578955,0.84,0.31,1.0,0.6,0.86,No counterfactual,2,38
0.12,0.88,0.04631578947368421,0.84,0.31,1.0,0.6,0.86,No counterfactual,2,38
0.16,0.84,0.04421052631578948,0.84,0.31,1.0,0.6,0.86,No counterfactual,2,38
